,country,manager,delivery_method,vendor_terms,transport_mode,order_date,expected_date,actual_date,recorded_date,product_category,product_type,supplier,product_feature,product_name,product_brand,dosage,dosage_form,units_per_pack,total_quantity,total_value,pack_price,unit_price,factory_location,priority_status,total_weight,shipping_cost,insurance_cost,delivery_status,order_to_delivery_days,shipping_cost_per_weight,item_quantity(%)
2692,South Africa,PMO - US,Direct Drop,DDP,Ocean,2011-03-10,2011-09-14,2011-10-27,2011-10-27,ARV,Pediatric,Aurobindo Pharma Limited,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,54768,133633.92,2.44,0.08,"Aurobindo Unit III, India",True,3237.0,10923.46,220.5,delayed,231,3.374562866852023,0.05
2695,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-05-03,2013-10-11,2013-10-09,2013-10-09,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,11500,132135.0,11.49,0.38,Mylan (formerly Matrix) Nashik,True,1295.0,2021.05,163.45,early_delivery,159,1.5606563706563705,0.01
2696,Vietnam,PMO - US,Direct Drop,EXW,Air,2014-04-08,2014-09-16,2014-09-16,2014-10-01,ARV,Adult,HETERO LABS LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,16000,56800.0,3.55,0.12,Hetero Unit III Hyderabad IN,True,1948.0,3138.25,58.39,early_delivery,161,1.611011293634497,0.01
2698,Nigeria,PMO - US,Direct Drop,EXW,Air,2012-10-05,2013-01-09,2013-01-10,2013-01-10,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,600mg,Test kit,100,2744,244216.0,89.0,0.89,"Alere Medical Co., Ltd.",True,1186.0,25193.28,342.39,delayed,97,21.24222596964587,0.0
2701,South Africa,PMO - US,Direct Drop,DDP,Air,2010-03-18,2010-08-24,2010-08-24,2010-08-24,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,56877,265615.59,4.67,0.16,"Aurobindo Unit III, India",True,4815.0,5886.9,572.67,early_delivery,159,1.2226168224299065,0.05
2702,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,2009-06-19,2009-09-15,2009-09-15,2009-09-15,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,600/300/300mg,Test kit,100,3500,245000.0,70.0,0.7,Inverness Japan,True,893.0,12858.12,480.2,early_delivery,88,14.39879059350504,0.0
2704,Vietnam,PMO - US,Direct Drop,EXW,Air,2015-01-28,2015-07-13,2015-07-13,2015-07-14,ARV,Adult,HETERO LABS LIMITED,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,17760,177600.0,10.0,0.33,Hetero Unit III Hyderabad IN,True,2516.0,3816.3,209.04,early_delivery,166,1.51681240063593,0.02
2705,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-08-12,2009-10-26,2009-10-26,2009-10-26,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,1680,13860.0,8.25,0.28,Mylan (formerly Matrix) Nashik,True,110.0,791.43,27.17,early_delivery,75,7.194818181818182,0.0
2706,Rwanda,PMO - US,Direct Drop,CIP,Air,2010-09-03,2010-11-02,2010-11-02,2010-11-02,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,138422,1211192.5,8.75,0.29,Mylan (formerly Matrix) Nashik,True,13147.0,4781.8,2611.33,early_delivery,60,0.36371795846961286,0.12
2707,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,2011-12-08,2012-03-29,2012-03-29,2012-03-29,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,600/300/300mg,Test kit,100,2000,160000.0,80.0,0.8,"Alere Medical Co., Ltd.",True,957.0,18919.56,224.32,early_delivery,112,19.769655172413795,0.0
2708,Malawi,PMO - US,Direct Drop,EXW,Ocean,2012-10-17,2013-06-21,2013-06-21,2013-06-21,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,243800,2801262.0,11.49,0.38,Mylan (formerly Matrix) Nashik,True,27549.0,24875.46,3465.16,early_delivery,247,0.902953283240771,0.21
2709,Mozambique,PMO - US,Direct Drop,CIP,Air,2009-09-02,2010-03-19,2010-03-19,2010-03-19,ARV,Adult,INTERNATIONAL HEALTHCARE DISTRIBUTORS,"Ritonavir 100mg [Norvir], capsules, cool, 84 Caps",Ritonavir,Norvir,100mg,Capsule,84,520,5366.4,10.32,0.12,ABBVIE (Abbott) France,True,149.0,0.0,10.52,early_delivery,198,0.0,0.0
2711,Haiti,PMO - US,Direct Drop,EXW,Ocean,2014-09-24,2015-03-13,2015-03-13,2015-03-18,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,25000,256000.0,10.24,0.34,Mylan (formerly Matrix) Nashik,True,3034.0,7658.27,263.17,early_delivery,170,2.5241496374423207,0.02
2712,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,2014-06-03,2014-11-03,2014-11-03,2014-11-07,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,500,15410.0,30.82,0.1,ABBVIE (Abbott) Logis. UK,True,505.0,6523.85,15.84,early_delivery,153,12.918514851485149,0.0
2713,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,2014-08-11,2014-11-04,2014-11-04,2014-11-20,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,150/300/200mg,Test kit,20,77,2464.0,32.0,1.6,"Trinity Biotech, Plc",True,509.0,8021.11,2.53,early_delivery,85,15.758565815324165,0.0
2714,Sudan,PMO - US,Direct Drop,EXW,Air,2011-08-29,2012-02-08,2012-02-08,2012-02-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,150/300/200mg,Test kit,20,35,1120.0,32.0,1.6,"Trinity Biotech, Plc",True,12.0,646.81,1.85,early_delivery,163,53.90083333333333,0.0
2715,Vietnam,PMO - US,Direct Drop,EXW,Air,2014-07-09,2015-02-05,2015-02-05,2015-02-05,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,13000,105300.0,8.1,0.13,Mylan (formerly Matrix) Nashik,True,2672.0,2504.64,108.25,early_delivery,211,0.9373652694610778,0.01
2717,South Sudan,PMO - US,Direct Drop,EXW,Air,2014-06-17,2015-01-09,2015-01-09,2015-01-19,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,100mg,Test kit,20,18,576.0,32.0,1.6,"Trinity Biotech, Plc",True,177.0,1692.35,0.59,early_delivery,206,9.561299435028248,0.0
2718,Swaziland,PMO - US,Direct Drop,EXW,Air,2011-06-21,2011-09-28,2011-09-28,2011-09-28,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100mg,Test kit,100,377,30160.0,80.0,0.8,Inverness Japan,True,172.0,4504.46,49.76,early_delivery,99,26.18872093023256,0.0
2719,Uganda,PMO - US,Direct Drop,DDP,Air,2012-03-15,2012-05-21,2012-05-21,2012-05-21,ARV,Adult,ASPEN PHARMACARE,"Etravirine 100mg [Intelence], tablets, 120 Tabs",Etravirine,Intelence,100mg,Tablet,120,121,9075.0,75.0,0.62,"Janssen-Cilag, Latina, IT",True,43.0,199.0,12.72,early_delivery,67,4.627906976744186,0.0
2721,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-06-25,2009-09-30,2009-09-30,2009-09-30,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,21504,139776.0,6.5,0.22,Mylan (formerly Matrix) Nashik,True,1849.0,4191.83,273.96,early_delivery,97,2.267079502433748,0.02
2722,Dominican Republic,PMO - US,Direct Drop,EXW,Air,2011-06-21,2011-09-27,2011-09-27,2011-09-27,HRDT,HIV test - Ancillary,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Diluent, 25 Tests, Bottle x 5 ml","HIV 1/2, Bioline 3.0 Diluent, 25 Tests",Bioline,150/300/200mg,Test kit - Ancillary,1,448,403.2,0.9,0.9,"Standard Diagnostics, Korea",True,71.0,844.36,0.67,early_delivery,98,11.892394366197184,0.0
2723,Mozambique,PMO - US,Direct Drop,EXW,Air,2013-12-11,2014-05-02,2014-05-02,2014-05-07,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,35136,284952.96,8.11,0.14,Hetero Unit III Hyderabad IN,True,4784.0,19286.53,292.93,early_delivery,142,4.031465301003344,0.03
2724,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,2014-01-22,2014-04-04,2014-04-04,2014-04-28,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,10mg/ml,Test kit,20,32,1024.0,32.0,1.6,"Trinity Biotech, Plc",True,54.0,2734.02,1.05,early_delivery,72,50.63,0.0
2725,Haiti,PMO - US,Direct Drop,EXW,Ocean,2013-02-07,2013-09-02,2013-09-02,2013-09-02,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,1832,3847.2,2.1,0.01,"Aurobindo Unit III, India",True,3504.0,7117.39,4.76,early_delivery,207,2.031218607305936,0.0
2726,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,2009-06-19,2009-09-11,2009-09-11,2009-09-11,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,100mg,Test kit,20,350,9450.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,True,205.0,1437.4,18.52,early_delivery,84,7.011707317073171,0.0
2727,Vietnam,PMO - US,Direct Drop,FCA,Air,2012-04-11,2012-10-03,2012-10-03,2012-10-03,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], film coated tablets, 30 Tabs",Ritonavir,Norvir,100mg,Tablet,30,174,4047.24,23.26,0.78,ABBVIE Ludwigshafen Germany,True,21.0,583.66,5.67,early_delivery,175,27.793333333333333,0.0
2730,Zimbabwe,PMO - US,Direct Drop,EXW,Air,2014-04-01,2014-06-14,2014-06-14,2014-06-16,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,32670,151915.5,4.65,0.16,"Aurobindo Unit VII, IN",True,3076.0,25730.13,156.17,early_delivery,74,8.364801690507152,0.03
2731,Rwanda,PMO - US,Direct Drop,CIP,Air,2009-07-16,2010-04-16,2010-04-16,2010-04-16,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,300/300mg,Tablet - FDC,30,62209,681188.55,10.95,0.36,Mylan (formerly Matrix) Nashik,True,5795.0,63600.4,1335.13,early_delivery,274,10.97504745470233,0.05
2732,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,2014-05-15,2014-09-30,2014-09-30,2014-10-21,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 50mg, dispersible tablets (tablets for oral suspension), 30 Tabs",Nevirapine,Generic,50mg,Chewable/dispersible tablet,30,940,1175.0,1.25,0.04,"Aurobindo Unit III, India",True,132.0,2516.57,1.21,early_delivery,138,19.064924242424244,0.0
2733,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-10-20,2010-03-19,2010-03-19,2010-03-19,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,24480,58752.0,2.4,0.04,"Aurobindo Unit III, India",True,3536.0,20910.43,115.15,early_delivery,150,5.91358314479638,0.02
2735,Burundi,PMO - US,Direct Drop,EXW,Air,2014-10-17,2015-02-18,2015-02-18,2015-02-18,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak Dipstick Assay Kit, 30 Tests","HIV 1/2, Stat-Pak Dipstick Assay Kit",Stat-Pak,600mg,Test kit,30,595,16422.0,27.6,0.92,Chembio Diagnostics Sys. Inc.,True,63.0,865.67,19.33,early_delivery,124,13.74079365079365,0.0
2736,Haiti,PMO - US,Direct Drop,EXW,Air,2013-02-07,2013-08-14,2013-08-14,2013-08-14,ARV,Adult,MICRO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,14448,46667.04,3.23,0.11,"Micro labs, Verna, Goa, India",True,2284.0,13257.25,57.73,early_delivery,188,5.804400175131349,0.01
2737,Uganda,PMO - US,Direct Drop,CIP,Air,2013-05-17,2013-11-20,2013-11-20,2013-11-21,ARV,Adult,ASPEN PHARMACARE,"Etravirine 100mg [Intelence], tablets, 120 Tabs",Etravirine,Intelence,100mg,Tablet,120,108,3888.0,36.0,0.3,"Janssen-Cilag, Latina, IT",True,22.0,265.0,4.81,early_delivery,187,12.045454545454545,0.0
2738,Kenya,PMO - US,Direct Drop,EXW,Air,2011-10-05,2012-01-17,2012-01-17,2012-01-17,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,50mg,Test kit,100,8298,738522.0,89.0,0.89,"Alere Medical Co., Ltd.",True,1427.0,16090.59,1218.56,early_delivery,104,11.275816398037842,0.01
2741,Tanzania,PMO - US,Direct Drop,EXW,Air,2013-07-15,2014-03-22,2014-03-22,2014-03-22,ARV,Pediatric,Aurobindo Pharma Limited,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,5925,9243.0,1.56,0.05,"Aurobindo Unit III, India",True,394.0,3245.39,11.43,early_delivery,250,8.237030456852791,0.01
2742,Vietnam,PMO - US,Direct Drop,EXW,Air,2014-04-08,2014-10-30,2014-10-30,2014-11-04,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,9800,63602.0,6.49,0.11,Mylan (formerly Matrix) Nashik,True,2235.0,3708.72,65.38,early_delivery,205,1.6593825503355704,0.01
2743,Cameroon,PMO - US,Direct Drop,EXW,Air,2013-07-10,2014-05-15,2014-05-15,2014-05-15,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Rapid Antibody Kit",OraQuick,300mg,Test kit,100,1000,350000.0,350.0,3.5,"Orasure Technologies, Inc",True,2090.0,51331.09,432.95,early_delivery,309,24.560330143540668,0.0
2744,South Africa,PMO - US,Direct Drop,DDP,Air,2010-03-18,2010-10-13,2011-01-25,2011-01-25,ARV,Adult,CIPLA LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,19992,156337.44,7.82,0.26,"Cipla, Goa, India",True,1378.0,3646.1,337.06,delayed,313,2.6459361393323655,0.02
2745,Zambia,PMO - US,Direct Drop,EXW,Air,2014-05-21,2014-12-01,2014-12-01,2014-12-10,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Zidovudine 30/60mg, dispersible tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,30/60mg,Chewable/dispersible tablet - FDC,60,10000,19900.0,1.99,0.03,"Mylan,  H-12 & H-13, India",True,849.0,4316.34,20.46,early_delivery,194,5.084028268551237,0.01
2746,South Sudan,PMO - US,Direct Drop,EXW,Air,2013-07-18,2013-10-18,2013-10-18,2013-10-18,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,150/300mg,Test kit,20,35,1120.0,32.0,1.6,"Trinity Biotech, Plc",True,176.0,4124.74,1.39,early_delivery,92,23.436022727272725,0.0
2747,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-01-29,2013-07-01,2013-07-01,2013-07-01,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,9095,62300.75,6.85,0.11,Hetero Unit III Hyderabad IN,True,1736.0,8163.83,77.07,early_delivery,153,4.702667050691244,0.01
2748,Haiti,PMO - US,Direct Drop,EXW,Air,2013-04-26,2013-07-09,2013-07-09,2013-07-09,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,200mg,Test kit,1,300,7350.0,24.5,24.5,"KHB Test Kit Facility, Shanghai China",True,182.0,2581.83,9.09,early_delivery,74,14.18587912087912,0.0
2749,Vietnam,PMO - US,Direct Drop,EXW,Air,2014-04-08,2014-11-07,2014-11-07,2014-11-08,ARV,Adult,MICRO LABS LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,7600,15808.0,2.08,0.03,"Micro labs, Verna, Goa, India",True,1292.0,2800.95,16.25,early_delivery,213,2.1679179566563467,0.01
2750,Haiti,PMO - US,Direct Drop,EXW,Air,2014-09-24,2015-02-12,2015-02-12,2015-02-13,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,50544,334095.84,6.61,0.11,"Hetero, Jadcherla, unit 5, IN",True,4669.0,34778.32,343.45,early_delivery,141,7.4487727564789035,0.04
2752,Vietnam,PMO - US,Direct Drop,EXW,Air,2010-02-02,2010-03-30,2010-03-30,2010-03-30,ARV,Adult,Aurobindo Pharma Limited,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,3528,27342.0,7.75,0.26,"Aurobindo Unit III, India",True,395.0,3538.57,58.95,early_delivery,56,8.95840506329114,0.0
2753,Tanzania,PMO - US,Direct Drop,EXW,Air,2013-04-30,2013-09-17,2013-09-17,2013-09-17,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,600/300/300mg,Test kit,100,2915,0.0,0.0,0.0,"Alere Medical Co., Ltd.",True,1208.0,20583.37,0.0,early_delivery,140,17.03921357615894,0.0
2754,Burundi,PMO - US,Direct Drop,EXW,Air,2014-07-17,2014-10-06,2014-10-06,2014-10-06,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,600/300/300mg,Test kit,100,3484,278720.0,80.0,0.8,"Alere Medical Co., Ltd.",True,1415.0,33228.68,286.52,early_delivery,81,23.483166077738517,0.0
2755,Tanzania,PMO - US,Direct Drop,EXW,Air,2011-06-24,2011-09-29,2011-10-29,2011-10-29,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,600/300/300mg,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",True,3334.0,21952.35,330.0,delayed,127,6.5843881223755245,0.01
2756,Zambia,PMO - US,Direct Drop,EXW,Air,2014-04-15,2014-07-28,2014-07-28,2014-08-15,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,600/300/300mg,Test kit,20,9500,304000.0,32.0,1.6,"Trinity Biotech, Plc",True,2783.0,20621.1,312.51,early_delivery,104,7.409665828242903,0.01
